unix_seconds,pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789326166.3548362,367187,133.0,3012.69921875,76,0,192860160,183,11
1789326167.3552804,367187,144.9,3061.7421875,76,0,192860160,183,11
1789326168.355641,367187,135.0,3061.7421875,76,0,192860160,183,11
1789326169.3561425,367187,112.9,3061.7421875,76,0,192860160,183,11
1789326170.356525,367187,108.0,3061.7421875,76,0,192860160,183,11
1789326171.3569646,367187,143.9,3100.03125,74,0,192860160,183,11
1789326172.357339,367187,127.0,3106.32421875,74,0,192860160,183,11
1789326173.3576,367187,107.0,3106.32421875,74,0,192860160,183,11
1789326174.3579671,367187,108.0,3106.3515625,74,0,192860160,183,11
1789326175.3582392,367187,108.0,3106.3515625,74,0,192860160,183,11
1789326176.358548,367187,124.0,3106.3515625,74,0,192860160,183,11
1789326177.3588145,367187,113.0,3106.359375,74,0,192860160,183,11
1789326178.3590786,367187,106.0,3106.359375,74,0,192860160,183,11
1789326179.3593917,367187,107.0,3106.359375,74,0,192860160,183,11
1789326180.359749,367187,108.0,3106.359375,74,0,192860160,183,11
1789326181.3599904,367187,121.0,3106.359375,74,0,192860160,183,11
1789326182.3602686,367187,113.0,3106.62109375,74,0,192860160,183,11
1789326183.3605337,367187,109.0,3106.62109375,74,0,192860160,183,11
1789326184.3608902,367187,109.0,3106.83203125,74,0,192860160,183,11
1789326185.3611507,367187,108.0,3106.83203125,74,0,192860160,183,11
1789326186.3614717,367187,108.0,3106.87890625,74,0,192860160,183,11
1789326187.3619015,367187,177.9,3208.25,75,0,193794048,184,11
1789326188.3622413,367187,109.0,3208.25,75,0,193794048,184,11
1789326189.362647,367187,109.0,3208.25,75,0,193794048,184,11
1789326190.362991,367187,115.0,3208.390625,75,0,193794048,184,11
1789326191.3632724,367187,116.0,3208.390625,75,0,193794048,184,11
1789326192.3635373,367187,110.0,3208.41796875,75,0,193794048,184,11
1789326193.3638072,367187,124.0,3208.421875,75,0,193794048,184,11
1789326194.3640614,367187,124.0,3046.828125,76,0,209711104,185,11
1789326195.3644278,367187,120.0,3046.828125,76,0,209711104,185,11
1789326196.3647301,367187,124.0,3046.828125,76,0,209711104,185,11
1789326197.3651063,367187,146.9,3046.83203125,76,0,209711104,185,11
1789326198.3654058,367187,132.0,3046.9140625,76,0,209711104,185,11
1789326199.3658118,367187,210.9,3141.3046875,75,0,209711104,185,11
1789326200.3660853,367187,131.0,3152.78125,75,0,209711104,185,11
1789326201.3663633,367187,126.0,3152.78125,75,0,209711104,185,11
1789326202.3667161,367187,130.0,3152.796875,75,0,209711104,185,11
1789326203.3671331,367187,154.9,3158.9140625,75,0,209711104,185,11
1789326204.3675141,367187,129.9,3158.921875,75,0,209711104,185,11
1789326205.3680782,367187,146.9,3120.0703125,74,0,209711104,185,11
1789326206.3684647,367187,118.0,3120.19140625,74,0,209711104,185,11
1789326207.3688781,367187,146.9,3166.44140625,75,0,218943488,186,11
1789326208.3692598,367187,135.9,3194.15625,74,0,218943488,186,11
1789326209.369807,367187,106.9,3194.15625,74,0,218943488,186,11
1789326210.3701782,367187,108.0,3194.15625,74,0,218943488,186,11
1789326211.3705397,367187,111.0,3194.15625,74,0,218943488,186,11
1789326212.371,367187,107.0,3194.15625,74,0,218943488,186,11
1789326213.371488,367187,129.9,3194.2265625,74,0,218943488,186,11
1789326214.3719857,367187,122.9,3194.28515625,74,0,218943488,186,11
1789326215.3723383,367187,130.0,3194.296875,74,0,218943488,186,11
1789326216.3727505,367187,122.9,3194.296875,74,0,218943488,186,11
1789326217.373211,367187,107.0,3194.296875,74,0,218943488,186,11
1789326218.3736374,367187,110.0,3194.296875,74,0,218943488,186,11
1789326219.3740299,367187,126.0,3194.296875,74,0,218943488,186,11
1789326220.3743918,367187,205.9,3228.859375,75,0,231403520,187,11
1789326221.3748853,367187,155.9,3278.78515625,75,0,231403520,187,11
1789326222.3752146,367187,136.0,3267.69140625,75,0,237412352,188,11
1789326223.375535,367187,135.0,3267.6953125,75,0,237412352,188,11
1789326224.3761244,367187,180.9,3267.671875,74,0,237412352,188,11
1789326225.376529,367187,117.0,3267.671875,74,0,237412352,188,11
1789326226.3769324,367187,190.9,3271.84765625,74,0,237412352,188,11
1789326227.3771927,367187,109.0,3270.125,76,0,252624896,189,11
1789326228.3775098,367187,166.9,3358.046875,76,0,252624896,189,11
1789326229.3778033,367187,113.0,3358.046875,76,0,252624896,189,11
1789326230.3787556,367187,161.8,3358.046875,76,0,252624896,189,11
1789326231.3791726,367187,164.9,3359.859375,76,0,252624896,189,11
1789326232.379564,367187,175.9,3391.359375,76,0,252624896,189,11
1789326233.3799543,367187,110.0,3391.359375,76,0,252624896,189,11
1789326234.3803184,367187,123.0,3391.50390625,76,0,252624896,189,11
1789326235.3806255,367187,110.0,3391.63671875,76,0,252624896,189,11
1789326236.3809333,367187,109.0,3391.63671875,76,0,252624896,189,11
1789326237.3812447,367187,118.0,3391.8203125,76,0,252624896,189,11
1789326238.3816304,367187,159.9,3408.59765625,75,0,252624896,189,11
1789326239.382005,367187,218.9,3459.1015625,75,0,252628992,189,11
1789326240.3823037,367187,218.9,3578.12890625,75,0,252628992,189,11
1789326241.3827157,367187,198.9,3611.5703125,75,0,252628992,189,11
1789326242.382998,367187,134.0,3590.66015625,75,0,252628992,189,11
1789326243.3833404,367187,119.0,3590.78515625,75,0,252628992,189,11
1789326244.3838017,367187,120.9,3529.89453125,76,0,276426752,190,11
1789326245.384196,367187,110.0,3529.89453125,76,0,276426752,190,11
1789326246.3845625,367187,127.0,3529.89453125,76,0,276426752,190,11
