case,file,pages,seconds,ocr_lines,recognition_calls,json_bytes,warnings
clean/batch-4,2609.04180v1.pdf,23,20.009688929,755,254,12356457,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
clean/batch-4,2609.04184v1.pdf,8,15.83883204,239,102,5934918,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
clean/batch-4,2609.04203v1.pdf,20,9.695828474,287,102,15110082,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
clean/batch-8,2403.01632v4.pdf,47,26.933944228,417,211,23747541,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
clean/batch-8,2303.18223v16.pdf,144,47.463635719,717,236,122683685,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
clean/batch-8,2410.05779v3.pdf,16,23.247993906,291,187,6709942,"{""OcrPartialOverlap"": 28}"
clean/batch-8,2412.05210v1.pdf,12,19.876812296,439,183,11806292,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
clean/batch-8,2603.01919v2.pdf,23,26.858577143,1101,253,16723838,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/batch-8,2604.18583v1.pdf,15,10.85618447,100,35,10599130,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
clean/batch-8,2604.21959v1.pdf,3,8.123844375000001,87,31,875580,{}
clean/batch-8,2604.18584v1.pdf,32,36.877326077,882,409,15843846,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/batch-8,2606.17056v1.pdf,25,31.766197442,831,207,9183035,"{""OcrPartialOverlap"": 4}"
clean/batch-8,2609.04184v1.pdf,8,15.605395434,239,80,5934912,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
clean/batch-8,2609.04180v1.pdf,23,22.122929667,755,175,12356453,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
clean/batch-8,2609.04203v1.pdf,20,8.695962743,287,72,15110083,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
clean/before,2403.01632v4.pdf,47,33.514055972,417,417,23747545,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
clean/before,2303.18223v16.pdf,144,56.63846815,717,717,122683686,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
clean/before,2410.05779v3.pdf,16,26.694165904,291,291,6709938,"{""OcrPartialOverlap"": 28}"
clean/before,2412.05210v1.pdf,12,20.461995113,439,439,11806283,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
clean/before,2604.18583v1.pdf,15,13.06963903,100,100,10599141,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
clean/before,2603.01919v2.pdf,23,34.200987069,1101,1101,16723838,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/before,2604.21959v1.pdf,3,6.919253369,87,87,875582,{}
clean/before,2604.18584v1.pdf,32,37.514697756,882,882,15843832,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/before,2606.17056v1.pdf,25,43.705326336,831,831,9183038,"{""OcrPartialOverlap"": 4}"
clean/before,2609.04180v1.pdf,23,23.535101211,755,755,12356449,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
clean/before,2609.04184v1.pdf,8,9.225845081,239,239,5934916,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
clean/before,2609.04203v1.pdf,20,8.315703438,287,287,15110081,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
heuristic/batch-1,2403.01632v4.pdf,47,29.209568558,417,417,23747542,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
heuristic/batch-1,2303.18223v16.pdf,144,49.246593901,717,717,122683685,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
heuristic/batch-1,2410.05779v3.pdf,16,23.465221387,291,291,6709939,"{""OcrPartialOverlap"": 28}"
heuristic/batch-1,2412.05210v1.pdf,12,18.685044878,439,439,11806278,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
heuristic/batch-1,2604.18583v1.pdf,15,11.913888403,100,100,10599141,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
heuristic/batch-1,2603.01919v2.pdf,23,31.126987186,1101,1101,16723840,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
heuristic/batch-1,2604.21959v1.pdf,3,6.937457412,87,87,875582,{}
heuristic/batch-1,2604.18584v1.pdf,32,35.641786943,882,882,15843827,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
heuristic/batch-1,2606.17056v1.pdf,25,40.894633805,831,831,9183038,"{""OcrPartialOverlap"": 4}"
heuristic/batch-1,2609.04180v1.pdf,23,21.257870173,755,755,12356449,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
heuristic/batch-1,2609.04184v1.pdf,8,8.523907486,239,239,5934916,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
heuristic/batch-1,2609.04203v1.pdf,20,8.186539818,287,287,15110081,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
heuristic/batch-16,2403.01632v4.pdf,47,25.960116233,417,197,23747544,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
heuristic/batch-16,2303.18223v16.pdf,144,45.646169991,717,202,122683683,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
heuristic/batch-16,2410.05779v3.pdf,16,22.48253245,291,182,6709935,"{""OcrPartialOverlap"": 28}"
heuristic/batch-16,2412.05210v1.pdf,12,19.416333098,439,166,11806291,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
heuristic/batch-16,2603.01919v2.pdf,23,23.871910641,1101,193,16723840,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
heuristic/batch-16,2604.18583v1.pdf,15,9.9590418,100,30,10599133,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
heuristic/batch-16,2604.21959v1.pdf,3,6.99917862,87,27,875581,{}
heuristic/batch-16,2604.18584v1.pdf,32,35.959243602,882,380,15843834,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
heuristic/batch-16,2606.17056v1.pdf,25,28.858279302,831,163,9183038,"{""OcrPartialOverlap"": 4}"
heuristic/batch-16,2609.04184v1.pdf,8,12.690818501,239,68,5934918,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
heuristic/batch-16,2609.04180v1.pdf,23,16.036300571,755,134,12356455,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
heuristic/batch-16,2609.04203v1.pdf,20,6.416353454,287,56,15110081,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
heuristic/batch-4,2403.01632v4.pdf,47,26.068057312,417,240,23747548,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
heuristic/batch-4,2303.18223v16.pdf,144,46.151920228,717,304,122683686,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
heuristic/batch-4,2410.05779v3.pdf,16,23.595181539,291,199,6709942,"{""OcrPartialOverlap"": 28}"
heuristic/batch-4,2412.05210v1.pdf,12,16.308781338,439,218,11806285,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
heuristic/batch-4,2604.18583v1.pdf,15,14.209230161,100,44,10599134,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
heuristic/batch-4,2603.01919v2.pdf,23,30.386702075,1101,370,16723835,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
heuristic/batch-4,2604.21959v1.pdf,3,7.814269793,87,38,875582,{}
heuristic/batch-4,2604.18584v1.pdf,32,39.525781511,882,468,15843853,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
heuristic/batch-4,2606.17056v1.pdf,25,36.653084914,831,295,9183038,"{""OcrPartialOverlap"": 4}"
heuristic/batch-4,2609.04180v1.pdf,23,18.277658147,755,254,12356456,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
heuristic/batch-4,2609.04184v1.pdf,8,14.889896291,239,102,5934918,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
heuristic/batch-4,2609.04203v1.pdf,20,9.664488015,287,102,15110082,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
heuristic/batch-8,2403.01632v4.pdf,47,27.598696679,417,211,23747540,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
heuristic/batch-8,2303.18223v16.pdf,144,47.278030177,717,236,122683683,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
heuristic/batch-8,2410.05779v3.pdf,16,23.909531271,291,187,6709944,"{""OcrPartialOverlap"": 28}"
heuristic/batch-8,2412.05210v1.pdf,12,15.129549781,439,183,11806292,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
heuristic/batch-8,2604.18583v1.pdf,15,14.385199609,100,35,10599130,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
heuristic/batch-8,2603.01919v2.pdf,23,28.154350172,1101,253,16723838,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
heuristic/batch-8,2604.21959v1.pdf,3,7.718090307,87,31,875580,{}
heuristic/batch-8,2604.18584v1.pdf,32,37.878394352,882,409,15843849,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
heuristic/batch-8,2606.17056v1.pdf,25,31.513463279,831,207,9183035,"{""OcrPartialOverlap"": 4}"
heuristic/batch-8,2609.04184v1.pdf,8,14.165220524,239,80,5934912,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
heuristic/batch-8,2609.04180v1.pdf,23,21.105192647,755,175,12356452,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
heuristic/batch-8,2609.04203v1.pdf,20,7.625959263,287,72,15110083,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
