case,stage,count,seconds
tsr4-cell2-experiment/c2,TableCellPreprocess,121,0.971174601
tsr4-cell2-experiment/c2,TableExternal,121,165.262701418
tsr4-cell2-experiment/c2,TableFill,121,0.21152983800000003
tsr4-cell2-experiment/c2,TextExtract,368,5.532752442999997
tsr4-cell2-experiment/c2,TextFinish,736,10.166723436000002
tsr4-cell2-experiment/c2,TextPrepare,368,0.015632519999999994
tsr4-cell2-experiment/c2,TsrBatchInference,60,30.979252579
tsr4-cell2-experiment/c2,TsrInference,133,80.03711854999999
tsr4-cell2-experiment/c2,TsrPostprocess,133,0.007476673999999999
tsr4-cell2-experiment/c2,TsrPreprocess,133,0.19941992999999997
tsr4-cell2-experiment/c2,TsrQueue,254,71.74971139600001
