case,file,stage,count,total_ms,max_ms
before-ocr-off-c2,2609.04203v1.pdf,LinkValidate,1,11.287401000000001,11.287401000000001
before-ocr-off-c2,2609.04203v1.pdf,ParseTotal,1,2289.7242069999998,2289.7242069999998
before-ocr-off-c2,2609.04203v1.pdf,PdfOpen,1,0.643728,0.643728
before-ocr-off-c2,2609.04203v1.pdf,PdfRender,20,668.9914799999998,191.277601
before-ocr-off-c2,2609.04203v1.pdf,PdfiumQueue,1,0.004288,0.004288
before-ocr-off-c2,2609.04203v1.pdf,TableExternal,1,993.1152960000001,993.1152960000001
before-ocr-off-c2,2609.04203v1.pdf,TableFill,1,4.274597,4.274597
before-ocr-off-c2,2609.04203v1.pdf,TableRules,19,9.655133,1.302591
before-ocr-off-c2,2609.04203v1.pdf,TextExtract,20,549.276061,152.34985600000002
before-ocr-off-c2,2609.04203v1.pdf,TextFinish,40,568.300975,59.138549
before-ocr-off-c2,2609.04203v1.pdf,TextPrepare,20,0.961296,0.075448
before-ocr-off-c2,2609.04203v1.pdf,TsrInference,1,990.772119,990.772119
before-ocr-off-c2,2609.04203v1.pdf,TsrPostprocess,1,0.183153,0.183153
before-ocr-off-c2,2609.04203v1.pdf,TsrPreprocess,1,1.567536,1.567536
before-ocr-off-c2,2609.04203v1.pdf,TsrQueue,1,0.123337,0.123337
before-ocr-on-c2,2403.01632v4.pdf,DocumentContext,1,2.742334,2.742334
before-ocr-on-c2,2403.01632v4.pdf,LayoutInference,47,4511.2550470000015,198.92209599999998
before-ocr-on-c2,2403.01632v4.pdf,LayoutPostprocess,47,0.9417799999999998,0.13759
before-ocr-on-c2,2403.01632v4.pdf,LayoutPreprocess,47,886.4405760000001,27.451776000000002
before-ocr-on-c2,2403.01632v4.pdf,LayoutQueue,47,8832.001554,445.352292
before-ocr-on-c2,2403.01632v4.pdf,LayoutReadback,47,0.193638,0.008684
before-ocr-on-c2,2403.01632v4.pdf,LinkValidate,1,12.610785,12.610785
before-ocr-on-c2,2403.01632v4.pdf,Ocr,13,81957.292015,11316.057719
before-ocr-on-c2,2403.01632v4.pdf,OcrDecode,417,1.614403,0.097042
before-ocr-on-c2,2403.01632v4.pdf,OcrDetectionInference,13,2228.50457,213.589468
before-ocr-on-c2,2403.01632v4.pdf,OcrDetectionPostprocess,13,131.67961300000002,17.671778
before-ocr-on-c2,2403.01632v4.pdf,OcrDetectionPreprocess,13,608.7020600000001,56.237138
before-ocr-on-c2,2403.01632v4.pdf,OcrOrientationInference,197,3661.0492230000013,394.588886
before-ocr-on-c2,2403.01632v4.pdf,OcrQueue,420,60708.66803099999,7787.7776619999995
before-ocr-on-c2,2403.01632v4.pdf,OcrReadback,407,1106.222469,31.505395999999998
before-ocr-on-c2,2403.01632v4.pdf,OcrRecognitionInference,197,13003.098135000006,541.956612
before-ocr-on-c2,2403.01632v4.pdf,OcrRecognitionPreprocess,394,377.4004189999999,5.022212
before-ocr-on-c2,2403.01632v4.pdf,ParseTotal,1,23309.224616000003,23309.224616000003
before-ocr-on-c2,2403.01632v4.pdf,PdfOpen,1,0.472713,0.472713
before-ocr-on-c2,2403.01632v4.pdf,PdfRender,47,788.6393379999998,55.790212
before-ocr-on-c2,2403.01632v4.pdf,PdfiumQueue,1,0.000376,0.000376
before-ocr-on-c2,2403.01632v4.pdf,TableRules,7,3.8761959999999998,1.0671929999999998
before-ocr-on-c2,2403.01632v4.pdf,TextExtract,47,492.623954,14.36901
before-ocr-on-c2,2403.01632v4.pdf,TextFinish,94,629.5866349999999,26.907563999999997
before-ocr-on-c2,2403.01632v4.pdf,TextPrepare,47,2.9042030000000003,0.14677
before-ocr-on-c2,2303.18223v16.pdf,DocumentContext,1,16.263514999999998,16.263514999999998
before-ocr-on-c2,2303.18223v16.pdf,LayoutInference,144,11942.239618000001,198.171286
before-ocr-on-c2,2303.18223v16.pdf,LayoutPostprocess,144,2.0324430000000007,0.053877
before-ocr-on-c2,2303.18223v16.pdf,LayoutPreprocess,144,2875.256769999999,28.774968
before-ocr-on-c2,2303.18223v16.pdf,LayoutQueue,144,21826.68905199999,502.728258
before-ocr-on-c2,2303.18223v16.pdf,LayoutReadback,144,0.5806399999999999,0.010069
before-ocr-on-c2,2303.18223v16.pdf,LinkValidate,1,67.23088200000001,67.23088200000001
before-ocr-on-c2,2303.18223v16.pdf,Ocr,16,123378.899678,13798.617653000001
before-ocr-on-c2,2303.18223v16.pdf,OcrDecode,717,2.004542999999997,0.148981
before-ocr-on-c2,2303.18223v16.pdf,OcrDetectionInference,16,2373.837699,195.529639
before-ocr-on-c2,2303.18223v16.pdf,OcrDetectionPostprocess,16,269.3533,21.07762
before-ocr-on-c2,2303.18223v16.pdf,OcrDetectionPreprocess,16,692.8077519999999,46.934148
before-ocr-on-c2,2303.18223v16.pdf,OcrOrientationInference,202,5270.480885000001,283.68789100000004
before-ocr-on-c2,2303.18223v16.pdf,OcrQueue,436,98556.07791100001,11503.803187000001
before-ocr-on-c2,2303.18223v16.pdf,OcrReadback,420,1258.0073720000005,31.685044
before-ocr-on-c2,2303.18223v16.pdf,OcrRecognitionInference,202,14437.848868000003,655.580012
before-ocr-on-c2,2303.18223v16.pdf,OcrRecognitionPreprocess,404,380.9782580000002,5.722149
before-ocr-on-c2,2303.18223v16.pdf,ParseTotal,1,41024.829137,41024.829137
before-ocr-on-c2,2303.18223v16.pdf,PdfOpen,1,0.674698,0.674698
before-ocr-on-c2,2303.18223v16.pdf,PdfRender,144,2302.292050000001,94.813604
before-ocr-on-c2,2303.18223v16.pdf,PdfiumQueue,1,0.0031999999999999997,0.0031999999999999997
before-ocr-on-c2,2303.18223v16.pdf,TableExternal,1,1007.0522950000001,1007.0522950000001
before-ocr-on-c2,2303.18223v16.pdf,TableFill,1,1.6692989999999999,1.6692989999999999
before-ocr-on-c2,2303.18223v16.pdf,TableRules,24,34.326771,4.057863
before-ocr-on-c2,2303.18223v16.pdf,TextExtract,144,2658.100550999999,29.11983
before-ocr-on-c2,2303.18223v16.pdf,TextFinish,288,5723.9740999999985,124.768562
before-ocr-on-c2,2303.18223v16.pdf,TextPrepare,144,16.100612999999996,0.26132500000000003
before-ocr-on-c2,2303.18223v16.pdf,TsrInference,5,997.100003,790.106584
before-ocr-on-c2,2303.18223v16.pdf,TsrPostprocess,5,0.28521199999999997,0.109375
before-ocr-on-c2,2303.18223v16.pdf,TsrPreprocess,5,5.022753,1.752517
before-ocr-on-c2,2303.18223v16.pdf,TsrQueue,5,0.793581,0.183938
before-ocr-on-c2,2410.05779v3.pdf,DocumentContext,1,0.668548,0.668548
before-ocr-on-c2,2410.05779v3.pdf,LayoutInference,16,1207.8201549999999,86.193901
before-ocr-on-c2,2410.05779v3.pdf,LayoutPostprocess,16,0.175514,0.022968000000000002
before-ocr-on-c2,2410.05779v3.pdf,LayoutPreprocess,16,310.743267,27.300483
before-ocr-on-c2,2410.05779v3.pdf,LayoutQueue,16,4535.568698,516.636726
before-ocr-on-c2,2410.05779v3.pdf,LayoutReadback,16,0.09597900000000002,0.019936
before-ocr-on-c2,2410.05779v3.pdf,LinkValidate,1,4.316879,4.316879
before-ocr-on-c2,2410.05779v3.pdf,Ocr,5,56400.414921999996,14238.349387
before-ocr-on-c2,2410.05779v3.pdf,OcrDecode,291,1.6537220000000008,0.137791
before-ocr-on-c2,2410.05779v3.pdf,OcrDetectionInference,5,698.659133,207.966412
before-ocr-on-c2,2410.05779v3.pdf,OcrDetectionPostprocess,5,54.25103300000001,15.242245
before-ocr-on-c2,2410.05779v3.pdf,OcrDetectionPreprocess,5,231.257066,48.172885
before-ocr-on-c2,2410.05779v3.pdf,OcrOrientationInference,182,1953.8519889999995,241.20132
before-ocr-on-c2,2410.05779v3.pdf,OcrQueue,374,42453.35929999999,9741.986875
before-ocr-on-c2,2410.05779v3.pdf,OcrReadback,369,1524.612180999999,55.960245
before-ocr-on-c2,2410.05779v3.pdf,OcrRecognitionInference,182,8932.836439999995,535.584615
before-ocr-on-c2,2410.05779v3.pdf,OcrRecognitionPreprocess,364,434.9392510000001,12.248398
before-ocr-on-c2,2410.05779v3.pdf,ParseTotal,1,20488.272585000002,20488.272585000002
before-ocr-on-c2,2410.05779v3.pdf,PdfOpen,1,0.14153700000000002,0.14153700000000002
before-ocr-on-c2,2410.05779v3.pdf,PdfRender,16,310.57378300000005,44.819474
before-ocr-on-c2,2410.05779v3.pdf,PdfiumQueue,1,0.003829,0.003829
before-ocr-on-c2,2410.05779v3.pdf,TableRules,6,10.410469,3.3382099999999997
before-ocr-on-c2,2410.05779v3.pdf,TextExtract,16,180.08902400000002,20.519164999999997
before-ocr-on-c2,2410.05779v3.pdf,TextFinish,32,177.881957,26.625735000000002
before-ocr-on-c2,2410.05779v3.pdf,TextPrepare,16,1.073203,0.176903
before-ocr-on-c2,2412.05210v1.pdf,DocumentContext,1,30.379331,30.379331
before-ocr-on-c2,2412.05210v1.pdf,LayoutInference,12,1057.382552,156.637429
before-ocr-on-c2,2412.05210v1.pdf,LayoutPostprocess,12,0.212185,0.06541999999999999
before-ocr-on-c2,2412.05210v1.pdf,LayoutPreprocess,12,258.144729,26.893885
before-ocr-on-c2,2412.05210v1.pdf,LayoutQueue,12,1620.4049390000002,245.54812900000002
before-ocr-on-c2,2412.05210v1.pdf,LayoutReadback,12,0.156852,0.018941
before-ocr-on-c2,2412.05210v1.pdf,LinkValidate,1,7.565942,7.565942
before-ocr-on-c2,2412.05210v1.pdf,Ocr,6,41614.79992399999,13786.11139
before-ocr-on-c2,2412.05210v1.pdf,OcrDecode,439,1.698078000000001,0.10081799999999999
before-ocr-on-c2,2412.05210v1.pdf,OcrDetectionInference,6,1341.2480030000002,667.8040050000001
before-ocr-on-c2,2412.05210v1.pdf,OcrDetectionPostprocess,6,94.57387700000001,19.557788
before-ocr-on-c2,2412.05210v1.pdf,OcrDetectionPreprocess,6,292.758045,55.092979
before-ocr-on-c2,2412.05210v1.pdf,OcrOrientationInference,166,2471.3729549999985,222.483246
before-ocr-on-c2,2412.05210v1.pdf,OcrQueue,344,27055.673684999994,5903.312779
before-ocr-on-c2,2412.05210v1.pdf,OcrReadback,338,1025.767779,25.552028
before-ocr-on-c2,2412.05210v1.pdf,OcrRecognitionInference,166,8911.469121000002,454.99942999999996
before-ocr-on-c2,2412.05210v1.pdf,OcrRecognitionPreprocess,332,310.74589000000003,7.353516
before-ocr-on-c2,2412.05210v1.pdf,ParseTotal,1,17900.6448,17900.6448
