case,file,pages,seconds,ocr_lines,tsr_calls,cell_calls,warnings
after-ocr-off-c3,2604.18584v1.pdf,32,9.211900842,0,2,2,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-off-c3,2603.01919v2.pdf,23,16.336568648,0,3,1,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-off-c3,2604.21959v1.pdf,3,0.299146708,0,0,0,{}
after-ocr-off-c3,2303.18223v16.pdf,144,21.485841195,0,5,1,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
after-ocr-off-c3,2609.04184v1.pdf,8,3.350484313,0,1,1,"{""ContentLayoutOverlap"": 1}"
after-ocr-off-c3,2606.17056v1.pdf,25,4.089860372,0,0,0,{}
after-ocr-off-c3,2609.04180v1.pdf,23,4.181657475,0,0,0,"{""ContentLayoutOverlap"": 3}"
after-ocr-off-c3,2609.04203v1.pdf,20,2.569268804,0,1,1,"{""ContentLayoutOverlap"": 5}"
after-ocr-off-c4,2412.05210v1.pdf,12,2.6985419349999997,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
after-ocr-off-c4,2410.05779v3.pdf,16,2.814650856,0,0,0,{}
after-ocr-off-c4,2604.18583v1.pdf,15,4.991202997,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
after-ocr-off-c4,2403.01632v4.pdf,47,10.880945143,0,0,0,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
after-ocr-off-c4,2604.21959v1.pdf,3,0.808644925,0,0,0,{}
after-ocr-off-c4,2604.18584v1.pdf,32,8.499736552,0,2,2,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-off-c4,2606.17056v1.pdf,25,5.144564766,0,0,0,{}
after-ocr-off-c4,2609.04180v1.pdf,23,4.39436107,0,0,0,"{""ContentLayoutOverlap"": 3}"
after-ocr-off-c4,2609.04184v1.pdf,8,8.897398183,0,1,1,"{""ContentLayoutOverlap"": 1}"
after-ocr-off-c4,2609.04203v1.pdf,20,5.314611792,0,1,1,"{""ContentLayoutOverlap"": 5}"
after-ocr-off-c4,2603.01919v2.pdf,23,23.396784355,0,3,1,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-off-c4,2303.18223v16.pdf,144,26.6037752,0,5,1,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
after-ocr-off-c5,2412.05210v1.pdf,12,3.276210384,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
after-ocr-off-c5,2410.05779v3.pdf,16,3.394096925,0,0,0,{}
after-ocr-off-c5,2604.18583v1.pdf,15,5.601353479,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
after-ocr-off-c5,2604.21959v1.pdf,3,1.107979995,0,0,0,{}
after-ocr-off-c5,2604.18584v1.pdf,32,9.842324068,0,2,2,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-off-c5,2403.01632v4.pdf,47,14.058596651,0,0,0,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
after-ocr-off-c5,2603.01919v2.pdf,23,16.284671291,0,3,1,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-off-c5,2606.17056v1.pdf,25,7.292693889,0,0,0,{}
after-ocr-off-c5,2609.04184v1.pdf,8,4.076685428,0,1,1,"{""ContentLayoutOverlap"": 1}"
after-ocr-off-c5,2609.04180v1.pdf,23,5.964114128,0,0,0,"{""ContentLayoutOverlap"": 3}"
after-ocr-off-c5,2609.04203v1.pdf,20,9.789490538,0,1,1,"{""ContentLayoutOverlap"": 5}"
after-ocr-off-c5,2303.18223v16.pdf,144,26.635836385,0,5,1,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
after-ocr-on-c2,2403.01632v4.pdf,47,24.398609771,417,0,0,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
after-ocr-on-c2,2303.18223v16.pdf,144,42.555068368,717,5,1,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
after-ocr-on-c2,2410.05779v3.pdf,16,22.163976243,291,0,0,"{""OcrPartialOverlap"": 28}"
after-ocr-on-c2,2412.05210v1.pdf,12,14.589931544,439,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
after-ocr-on-c2,2603.01919v2.pdf,23,21.713874052,1101,3,1,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-on-c2,2604.18583v1.pdf,15,13.514966975,100,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
after-ocr-on-c2,2604.21959v1.pdf,3,6.76427412,87,0,0,{}
after-ocr-on-c2,2604.18584v1.pdf,32,34.493013652,882,2,2,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-on-c2,2606.17056v1.pdf,25,28.178262739,831,0,0,"{""OcrPartialOverlap"": 4}"
after-ocr-on-c2,2609.04180v1.pdf,23,14.840387721,755,0,0,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
after-ocr-on-c2,2609.04184v1.pdf,8,12.052767281,239,1,1,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
after-ocr-on-c2,2609.04203v1.pdf,20,6.134596781,287,1,1,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
after-ocr-on-c3,2410.05779v3.pdf,16,22.483852448,291,0,0,"{""OcrPartialOverlap"": 28}"
after-ocr-on-c3,2403.01632v4.pdf,47,39.470967434,417,0,0,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
after-ocr-on-c3,2412.05210v1.pdf,12,31.412437702,439,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
after-ocr-on-c3,2303.18223v16.pdf,144,58.468027585,717,5,1,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
after-ocr-on-c3,2603.01919v2.pdf,23,29.48522392,1101,3,1,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-on-c3,2604.18583v1.pdf,15,19.916188118,100,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
after-ocr-on-c3,2604.21959v1.pdf,3,8.19797323,87,0,0,{}
after-ocr-on-c3,2604.18584v1.pdf,32,43.745917889,882,2,2,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-on-c3,2609.04180v1.pdf,23,33.452822341,755,0,0,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
after-ocr-on-c3,2606.17056v1.pdf,25,43.091927279,831,0,0,"{""OcrPartialOverlap"": 4}"
after-ocr-on-c3,2609.04184v1.pdf,8,15.472683323,239,1,1,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
after-ocr-on-c3,2609.04203v1.pdf,20,11.393982972,287,1,1,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
after-ocr-on-c4,2410.05779v3.pdf,16,28.066601077,291,0,0,"{""OcrPartialOverlap"": 28}"
after-ocr-on-c4,2412.05210v1.pdf,12,31.744030798,439,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
after-ocr-on-c4,2403.01632v4.pdf,47,54.936019372,417,0,0,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
after-ocr-on-c4,2604.18583v1.pdf,15,28.605329807,100,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
after-ocr-on-c4,2303.18223v16.pdf,144,69.025731465,717,5,1,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
after-ocr-on-c4,2603.01919v2.pdf,23,44.508278916,1101,3,1,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-on-c4,2604.21959v1.pdf,3,18.323641363,87,0,0,{}
