unix_seconds,pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789326984.3259318,389111,108.0,2499.6875,76,0,122896384,169,11
1789326985.3262942,389111,109.0,2499.6875,76,0,122896384,169,11
1789326986.3267775,389111,121.9,2499.6953125,76,0,122900480,169,11
1789326987.3272126,389111,108.0,2499.69921875,76,0,122900480,169,11
1789326988.3276527,389111,142.9,2509.66796875,75,0,122900480,169,11
1789326989.3280518,389111,118.0,2509.8828125,75,0,122900480,169,11
1789326990.3285015,389111,116.9,2509.88671875,75,0,122900480,169,11
1789326991.328939,389111,100.0,2510.02734375,75,0,122900480,169,11
1789326992.3292916,389111,140.0,2600.85546875,76,0,146751488,170,11
1789326993.3297668,389111,145.9,2606.76171875,75,0,146751488,170,11
1789326994.3302774,389111,107.9,2606.76171875,75,0,146751488,170,11
1789326995.3306868,389111,112.0,2606.76171875,75,0,146751488,170,11
1789326996.3311968,389111,107.9,2606.76171875,75,0,146751488,170,11
1789326997.3316808,389111,109.9,2606.89453125,75,0,146751488,170,11
1789326998.3321848,389111,116.9,2618.58203125,75,0,146751488,170,11
1789326999.33257,389111,118.0,2625.03515625,75,0,146751488,170,11
1789327000.3331287,389111,109.9,2625.1015625,75,0,146751488,170,11
1789327001.3335586,389111,109.0,2625.1015625,75,0,146751488,170,11
1789327002.3340316,389111,107.9,2625.1015625,75,0,146751488,170,11
1789327003.334467,389111,100.0,2648.45703125,76,0,153501696,171,11
1789327004.3349388,389111,171.9,2781.765625,76,0,153501696,171,11
1789327005.3354533,389111,113.9,2781.765625,76,0,153501696,171,11
1789327006.335937,389111,161.9,2781.7421875,75,0,153501696,171,11
1789327007.3364487,389111,109.9,2781.7421875,75,0,153501696,171,11
1789327008.3369205,389111,112.9,2781.7421875,75,0,153501696,171,11
1789327009.3372748,389111,108.0,2781.8203125,75,0,153501696,171,11
1789327010.337654,389111,120.0,2782.9375,75,0,153501696,171,11
1789327011.3382702,389111,108.9,2783.21484375,75,0,153501696,171,11
1789327012.3386707,389111,99.0,2783.21484375,75,0,153501696,171,11
1789327013.3391352,389111,99.0,2783.21484375,75,0,153501696,171,11
1789327014.3395824,389111,96.0,2792.11328125,76,0,165376000,172,11
1789327015.3401368,389111,157.9,2920.16015625,76,0,165376000,172,11
1789327016.3405685,389111,202.9,2937.921875,76,0,165376000,172,11
1789327017.3408387,389111,135.0,2939.0390625,76,0,165376000,172,11
1789327018.3411584,389111,139.0,2939.01953125,75,0,165376000,172,11
1789327019.341487,389111,128.0,2939.01953125,75,0,165376000,172,11
1789327020.3418639,389111,122.0,2939.01953125,75,0,165376000,172,11
1789327021.3421319,389111,148.0,2939.01953125,75,0,165380096,172,11
1789327022.3424392,389111,112.0,2939.01953125,75,0,165380096,172,11
1789327023.3427343,389111,111.0,2939.01953125,75,0,165380096,172,11
1789327024.3431087,389111,113.0,2939.01953125,75,0,165380096,172,11
1789327025.343418,389111,125.0,2939.01953125,75,0,165380096,172,11
1789327026.3437164,389111,121.0,2902.24609375,75,0,165380096,172,11
1789327027.3442025,389111,112.9,2902.24609375,75,0,165380096,172,11
1789327028.3445919,389111,109.0,2902.24609375,75,0,165380096,172,11
1789327029.345094,389111,117.9,2902.24609375,75,0,165380096,172,11
1789327030.345386,389111,109.0,2910.6875,76,0,182177792,173,12
1789327031.3457942,389111,228.9,3025.234375,76,0,182177792,173,12
1789327032.346172,389111,220.9,3021.69140625,75,0,182177792,173,12
1789327033.3465629,389111,115.0,3021.69140625,75,0,182177792,173,12
1789327034.346992,389111,151.9,2991.0234375,76,0,192843776,174,12
1789327035.3473542,389111,177.9,3070.82421875,76,0,192843776,174,12
1789327036.3477287,389111,127.0,3070.82421875,76,0,192847872,174,12
1789327037.3480947,389111,116.0,3070.82421875,76,0,192847872,174,12
1789327038.3483858,389111,123.0,3070.82421875,76,0,192847872,174,12
1789327039.3486853,389111,140.0,3076.37109375,76,0,192847872,174,12
1789327040.3490863,389111,158.9,3125.23046875,76,0,192847872,174,12
1789327041.3493552,389111,119.0,3125.23046875,76,0,192847872,174,12
1789327042.3496523,389111,108.0,3125.23046875,76,0,192847872,174,12
1789327043.3499656,389111,120.0,3125.23046875,76,0,192847872,174,12
1789327044.350347,389111,123.0,3125.25390625,75,0,192847872,174,12
